node_id,x_coord,y_coord,zone_id,EXTERNAL,PNR_2015,PNR_2019,PNR_2024,PNR_2030,PNR_2040,PNR_2050,PNR_2030UF,PNR_2040UF,PNR_2050UF,GEOMETRYSO,GEOMETRY_1,wkt_geom
361,429913.69719,4621402.01351,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429913.7 4621402)
362,430050.79372,4621262.70817,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430050.8 4621263)
363,429828.31976,4620952.29214,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429828.3 4620952)
364,430040.7507,4620946.18633,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430040.8 4620946)
365,430277.02586,4621386.72995,356,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430277 4621387)
366,430254.10337,4620939.37959,357,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430254.1 4620939)
367,430483.54932,4621343.47247,358,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430483.5 4621343)
368,430470.2882,4620932.54976,359,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430470.3 4620933)
369,430679.4856,4621256.44983,360,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430679.5 4621256)
370,430687.85836,4620925.65658,361,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430687.9 4620926)
371,430903.58582,4620917.92145,362,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430903.6 4620918)
372,431234.53944,4621226.85947,363,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431234.5 4621227)
373,431320.50454,4620909.87529,364,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431320.5 4620910)
374,431763.83845,4621210.18436,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431763.8 4621210)
375,431553.65968,4621216.1634,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431553.7 4621216)
376,431741.18112,4620981.15901,366,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431741.2 4620981)
377,431975.00598,4621204.84222,367,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431975 4621205)
378,432524.86652,4621460.88748,368,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432524.9 4621461)
379,433352.37163,4621642.53071,369,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433352.4 4621643)
380,433278.60405,4621335.04417,370,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433278.6 4621335)
381,423082.13515,4622756.19819,371,0,0,0,0,0,0,0,0,0,0,1,1,POINT (423082.1 4622756)
382,424713.07762,4622576.99593,372,0,0,0,0,0,0,0,0,0,0,1,1,POINT (424713.1 4622577)
383,425934.12011,4622795.4123,373,0,0,0,0,0,0,0,0,0,0,1,1,POINT (425934.1 4622795)
384,425413.37932,4620642.97485,374,0,0,0,0,0,0,0,0,0,0,1,1,POINT (425413.4 4620643)
385,426355.34096,4619793.36926,375,0,0,0,0,0,0,0,0,0,0,1,1,POINT (426355.3 4619793)
386,427253.05318,4620398.53027,376,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427253.1 4620399)
387,428021.02426,4620382.88464,377,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428021 4620383)
388,428915.01388,4620350.63937,378,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428915 4620351)
389,429520.14288,4620536.06827,379,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429520.1 4620536)
390,430027.42384,4620519.93666,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430027.4 4620520)
391,429814.23041,4620526.01397,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429814.2 4620526)
392,430240.986,4620512.95211,381,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430241 4620513)
393,430451.95849,4620422.57925,382,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430452 4620423)
394,430672.50275,4620418.92309,383,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430672.5 4620419)
395,430896.09741,4620576.0319,384,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430896.1 4620576)
396,431162.8589,4620559.61307,385,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431162.9 4620560)
397,431454.48805,4620605.68412,386,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431454.5 4620606)
398,431444.85715,4620407.77909,387,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431444.9 4620408)
399,431796.54912,4620533.62251,388,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431796.5 4620534)
400,432164.63308,4620602.74817,389,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432164.6 4620603)
401,433172.31895,4621065.39461,390,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433172.3 4621065)
402,433750.28281,4620691.25763,391,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433750.3 4620691)
403,429505.04002,4620110.86269,392,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429505 4620111)
404,429800.20288,4620101.19403,393,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429800.2 4620101)
405,430125.03884,4620196.14747,394,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430125 4620196)
406,430115.11656,4619894.23413,395,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430115.1 4619894)
407,430441.69604,4619907.32359,396,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430441.7 4619907)
408,430655.36985,4619905.80703,397,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430655.4 4619906)
409,431070.4166,4619998.09865,398,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431070.4 4619998)
410,431292.9203,4619964.65753,399,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431292.9 4619965)
411,431609.18958,4619956.53944,400,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431609.2 4619957)
412,431984.32341,4620152.97536,401,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431984.3 4620153)
413,432372.55629,4620062.75327,402,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432372.6 4620063)
414,433531.17533,4619663.51533,403,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433531.2 4619664)
415,427229.29936,4619567.32627,404,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427229.3 4619567)
416,428064.60644,4619547.69064,405,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428064.6 4619548)
417,428852.13822,4619701.19573,406,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428852.1 4619701)
418,428757.15158,4619276.50058,407,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428757.2 4619277)
419,429385.49126,4619808.71794,408,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429385.5 4619809)
420,429718.96804,4619805.17193,409,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429719 4619805)
421,429319.75315,4619606.53308,410,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429319.8 4619607)
422,429676.48206,4619603.35997,411,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429676.5 4619603)
423,430105.039,4619592.43008,412,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430105 4619592)
424,430428.93225,4619582.69123,413,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430428.9 4619583)
425,430644.29004,4619574.42629,414,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430644.3 4619574)
426,430870.11541,4619580.02667,415,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430870.1 4619580)
427,429224.75069,4619269.59398,416,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429224.8 4619270)
428,429650.6079,4619183.16486,417,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429650.6 4619183)
429,430092.92069,4619289.46885,418,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430092.9 4619289)
430,430417.62452,4619303.92077,419,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430417.6 4619304)
431,430624.21198,4619334.37495,420,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430624.2 4619334)
432,427113.45924,4618982.9776,421,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427113.5 4618983)
433,427070.90271,4618554.03169,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427070.9 4618554)
434,427905.54826,4618881.40264,423,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427905.5 4618881)
435,428702.33261,4618945.03618,424,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428702.3 4618945)
436,428787.39583,4618559.41757,425,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428787.4 4618559)
437,429274.2149,4618652.567,426,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429274.2 4618653)
438,429726.08544,4618789.76703,427,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429726.1 4618790)
439,429677.01151,4618576.22502,428,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429677 4618576)
440,430126.32921,4618884.97516,429,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430126.3 4618885)
441,430271.09505,4618735.53309,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430271.1 4618736)
442,430417.98569,4618771.98122,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430418 4618772)
443,427359.09846,4618051.97954,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427359.1 4618052)
444,427928.35132,4618147.20531,432,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427928.4 4618147)
445,428724.62929,4617942.86939,433,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428724.6 4617943)
446,429568.46166,4618008.60536,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429568.5 4618009)
447,427031.30542,4617447.84511,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427031.3 4617448)
448,426635.70486,4618422.38602,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (426635.7 4618422)
449,428085.44532,4617140.59118,436,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428085.4 4617141)
